Id Externo;LOGIN;VENDEDOR;ZONA; CUSTOMER;METODO DE PAGO;ARTICULO;CANTIDAD;Clase;Ubicación;Subsidiaria;Precio Cliente;Direccion;a quien cae la venta;nota ;id direccion de envio 
MCO 9772;60441;60441;1348;26851;2;2348;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;7808;2;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;9268;3;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;25329;2;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;8524;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;10375;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;10405;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;8599;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;6119;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;2340;3;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;2341;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;11589;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;7023;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;7020;3;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;7009;3;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;31238;2;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;6127;2;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;129158;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;7608;3;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;4297;3;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;4125;3;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;12353;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;36967;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;4377;3;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;10918;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;7618;2;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;7774;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;25204;2;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;7599;3;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;8218;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;9755;6;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;43549;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;25814;6;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;9689;2;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;9759;2;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;34474;4;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;34475;10;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;9790;2;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;174408;3;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;174408;8;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;7612;1;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;7629;2;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;43735;3;775;11;6;143;29124;60441;MCO 9772;29124
MCO 9772;60441;60441;1348;26851;2;106909;2;775;11;6;143;29124;60441;MCO 9772;29124
